onset	duration	ISI	trial_type	trial_name	stim_file	stim_file_index
3	0.5	0	132	LETTERS	images/spatialobject_1_015.png	15
4.333	0.5	0	131	FACES	images/spatialobject_1_005.png	5
5.75	0.5	0	132	LETTERS	images/spatialobject_1_022.png	22
7.417	0.5	0	131	FACES	images/spatialobject_1_008.png	8
9.133	0.5	0	132	LETTERS	images/spatialobject_1_024.png	24
10.6	0.5	0	132	LETTERS	images/spatialobject_1_023.png	23
11.95	0.5	0	131	FACES	images/spatialobject_1_010.png	10
13.433	0.5	0	131	FACES	images/spatialobject_1_001.png	1
14.933	0.5	0	132	LETTERS	images/spatialobject_1_020.png	20
16.517	0.5	0	131	FACES	images/spatialobject_1_003.png	3
18.183	0.5	0	131	FACES	images/spatialobject_1_011.png	11
19.517	0.5	0	133	HOUSES	images/spatialobject_1_029.png	29
21.067	0.5	0	133	HOUSES	images/spatialobject_1_025.png	25
22.367	0.5	0	133	HOUSES	images/spatialobject_1_032.png	32
23.8	0.5	0	133	HOUSES	images/spatialobject_1_033.png	33
25.25	0.5	0	133	HOUSES	images/spatialobject_1_027.png	27
26.9	0.5	0	132	LETTERS	images/spatialobject_1_018.png	18
28.267	0.5	0	132	LETTERS	images/spatialobject_1_016.png	16
30.017	0.5	0	131	FACES	images/spatialobject_1_004.png	4
31.267	0.5	0	132	LETTERS	images/spatialobject_1_017.png	17
32.8	0.5	0	131	FACES	images/spatialobject_1_012.png	12
34.4	0.5	0	133	HOUSES	images/spatialobject_1_035.png	35
35.783	0.5	0	133	HOUSES	images/spatialobject_1_026.png	26
37.367	0.5	0	133	HOUSES	images/spatialobject_1_031.png	31
38.883	0.5	0	133	HOUSES	images/spatialobject_1_030.png	30
40.167	0.5	0	131	FACES	images/spatialobject_1_002.png	2
41.783	0.5	0	132	LETTERS	images/spatialobject_1_021.png	21
43.067	0.5	0	132	LETTERS	images/spatialobject_1_019.png	19
44.467	0.5	0	133	HOUSES	images/spatialobject_1_028.png	28
45.733	0.5	0	132	LETTERS	images/spatialobject_1_014.png	14
47.467	0.5	0	131	FACES	images/spatialobject_1_007.png	7
49.1	0.5	0	131	FACES	images/spatialobject_1_006.png	6
50.817	0.5	0	132	LETTERS	images/spatialobject_1_013.png	13
52.25	0.5	0	133	HOUSES	images/spatialobject_1_036.png	36
53.817	0.5	0	131	FACES	images/spatialobject_1_009.png	9
55.5	0.5	0	133	HOUSES	images/spatialobject_1_034.png	34
57.000	0.5	0	133	HOUSES	images/spatialobject_2_029.png	29
58.400	0.5	0	132	LETTERS	images/spatialobject_2_019.png	19
60.000	0.5	0	133	HOUSES	images/spatialobject_2_025.png	25
61.317	0.5	0	131	FACES	images/spatialobject_2_011.png	11
62.633	0.5	0	132	LETTERS	images/spatialobject_2_013.png	13
64.117	0.5	0	133	HOUSES	images/spatialobject_2_026.png	26
65.833	0.5	0	133	HOUSES	images/spatialobject_2_032.png	32
67.182	0.5	0	132	LETTERS	images/spatialobject_2_022.png	22
68.567	0.5	0	131	FACES	images/spatialobject_2_002.png	2
70.083	0.5	0	132	LETTERS	images/spatialobject_2_017.png	17
71.500	0.5	0	131	FACES	images/spatialobject_2_012.png	12
72.932	0.5	0	132	LETTERS	images/spatialobject_2_023.png	23
74.632	0.5	0	132	LETTERS	images/spatialobject_2_018.png	18
75.899	0.5	0	132	LETTERS	images/spatialobject_2_020.png	20
77.566	0.5	0	132	LETTERS	images/spatialobject_2_015.png	15
79.099	0.5	0	131	FACES	images/spatialobject_2_006.png	6
80.682	0.5	0	133	HOUSES	images/spatialobject_2_035.png	35
82.382	0.5	0	133	HOUSES	images/spatialobject_2_034.png	34
84.016	0.5	0	131	FACES	images/spatialobject_2_007.png	7
85.349	0.5	0	133	HOUSES	images/spatialobject_2_027.png	27
87.099	0.5	0	131	FACES	images/spatialobject_2_009.png	9
88.549	0.5	0	133	HOUSES	images/spatialobject_2_033.png	33
89.916	0.5	0	132	LETTERS	images/spatialobject_2_016.png	16
91.532	0.5	0	131	FACES	images/spatialobject_2_010.png	10
93.199	0.5	0	133	HOUSES	images/spatialobject_2_030.png	30
94.766	0.5	0	131	FACES	images/spatialobject_2_008.png	8
96.066	0.5	0	131	FACES	images/spatialobject_2_001.png	1
97.332	0.5	0	133	HOUSES	images/spatialobject_2_031.png	31
98.832	0.5	0	131	FACES	images/spatialobject_2_003.png	3
100.483	0.5	0	132	LETTERS	images/spatialobject_2_014.png	14
102.066	0.5	0	133	HOUSES	images/spatialobject_2_028.png	28
103.799	0.5	0	132	LETTERS	images/spatialobject_2_024.png	24
105.249	0.5	0	132	LETTERS	images/spatialobject_2_021.png	21
106.782	0.5	0	133	HOUSES	images/spatialobject_2_036.png	36
108.249	0.5	0	131	FACES	images/spatialobject_2_004.png	4
109.499	0.5	0	131	FACES	images/spatialobject_2_005.png	5
