onset	duration	ISI	trial_name	stim_file	trial_type
3	0.133	0.133	TWOPULSE-4	temporalpattern/twopulse_133ms.tsv	10
4.683	0.133	0.017	TWOPULSE-1	temporalpattern/twopulse_017ms.tsv	7
6.317	0.133	0.067	TWOPULSE-3	temporalpattern/twopulse_067ms.tsv	9
8	0.133	0	ONEPULSE-4	temporalpattern/onepulse_133ms.tsv	4
9.667	0.267	0	ONEPULSE-5	temporalpattern/onepulse_267ms.tsv	5
11.183	0.133	0.067	TWOPULSE-3	temporalpattern/twopulse_067ms.tsv	9
12.517	0.133	0.267	TWOPULSE-5	temporalpattern/twopulse_267ms.tsv	11
14.067	0.133	0.033	TWOPULSE-2	temporalpattern/twopulse_033ms.tsv	8
15.517	0.017	0	ONEPULSE-1	temporalpattern/onepulse_017ms.tsv	1
17.25	0.533	0	ONEPULSE-6	temporalpattern/onepulse_533ms.tsv	6
18.65	0.133	0	ONEPULSE-4	temporalpattern/onepulse_133ms.tsv	4
19.917	0.133	0.033	TWOPULSE-2	temporalpattern/twopulse_033ms.tsv	8
21.433	0.533	0	ONEPULSE-6	temporalpattern/onepulse_533ms.tsv	6
22.783	0.133	0.017	TWOPULSE-1	temporalpattern/twopulse_017ms.tsv	7
24.317	0.267	0	ONEPULSE-5	temporalpattern/onepulse_267ms.tsv	5
25.733	0.033	0	ONEPULSE-2	temporalpattern/onepulse_033ms.tsv	2
26.983	0.133	0.533	TWOPULSE-6	temporalpattern/twopulse_533ms.tsv	12
28.35	0.133	0.533	TWOPULSE-6	temporalpattern/twopulse_533ms.tsv	12
29.683	0.067	0	ONEPULSE-3	temporalpattern/onepulse_067ms.tsv	3
31.283	0.133	0.067	TWOPULSE-3	temporalpattern/twopulse_067ms.tsv	9
32.733	0.067	0	ONEPULSE-3	temporalpattern/onepulse_067ms.tsv	3
34.45	0.133	0.267	TWOPULSE-5	temporalpattern/twopulse_267ms.tsv	11
35.767	0.533	0	ONEPULSE-6	temporalpattern/onepulse_533ms.tsv	6
37.383	0.133	0	ONEPULSE-4	temporalpattern/onepulse_133ms.tsv	4
39.133	0.133	0.133	TWOPULSE-4	temporalpattern/twopulse_133ms.tsv	10
40.517	0.067	0	ONEPULSE-3	temporalpattern/onepulse_067ms.tsv	3
42.083	0.017	0	ONEPULSE-1	temporalpattern/onepulse_017ms.tsv	1
43.683	0.133	0.267	TWOPULSE-5	temporalpattern/twopulse_267ms.tsv	11
45.333	0.017	0	ONEPULSE-1	temporalpattern/onepulse_017ms.tsv	1
46.617	0.267	0	ONEPULSE-5	temporalpattern/onepulse_267ms.tsv	5
47.917	0.133	0.133	TWOPULSE-4	temporalpattern/twopulse_133ms.tsv	10
49.333	0.133	0.033	TWOPULSE-2	temporalpattern/twopulse_033ms.tsv	8
50.817	0.133	0.017	TWOPULSE-1	temporalpattern/twopulse_017ms.tsv	7
52.517	0.133	0.533	TWOPULSE-6	temporalpattern/twopulse_533ms.tsv	12
54.017	0.033	0	ONEPULSE-2	temporalpattern/onepulse_033ms.tsv	2
55.5	0.033	0	ONEPULSE-2	temporalpattern/onepulse_033ms.tsv	2
56.7	0.267	0	ONEPULSE-5	temporalpattern/onepulse_267ms.tsv	5
57.967	0.033	0	ONEPULSE-2	temporalpattern/onepulse_033ms.tsv	2
59.517	0.133	0.533	TWOPULSE-6	temporalpattern/twopulse_533ms.tsv	12
61.15	0.133	0.267	TWOPULSE-5	temporalpattern/twopulse_267ms.tsv	11
62.467	0.133	0.033	TWOPULSE-2	temporalpattern/twopulse_033ms.tsv	8
63.867	0.133	0.133	TWOPULSE-4	temporalpattern/twopulse_133ms.tsv	10
65.383	0.533	0	ONEPULSE-6	temporalpattern/onepulse_533ms.tsv	6
66.717	0.133	0	ONEPULSE-4	temporalpattern/onepulse_133ms.tsv	4
68.45	0.133	0.067	TWOPULSE-3	temporalpattern/twopulse_067ms.tsv	9
69.8	0.133	0.033	TWOPULSE-2	temporalpattern/twopulse_033ms.tsv	8
71.233	0.033	0	ONEPULSE-2	temporalpattern/onepulse_033ms.tsv	2
72.517	0.067	0	ONEPULSE-3	temporalpattern/onepulse_067ms.tsv	3
74.117	0.133	0.133	TWOPULSE-4	temporalpattern/twopulse_133ms.tsv	10
75.567	0.133	0	ONEPULSE-4	temporalpattern/onepulse_133ms.tsv	4
77.283	0.533	0	ONEPULSE-6	temporalpattern/onepulse_533ms.tsv	6
78.567	0.133	0.033	TWOPULSE-2	temporalpattern/twopulse_033ms.tsv	8
80.217	0.067	0	ONEPULSE-3	temporalpattern/onepulse_067ms.tsv	3
81.917	0.017	0	ONEPULSE-1	temporalpattern/onepulse_017ms.tsv	1
83.3	0.267	0	ONEPULSE-5	temporalpattern/onepulse_267ms.tsv	5
84.783	0.067	0	ONEPULSE-3	temporalpattern/onepulse_067ms.tsv	3
86.533	0.133	0.133	TWOPULSE-4	temporalpattern/twopulse_133ms.tsv	10
88.217	0.133	0.067	TWOPULSE-3	temporalpattern/twopulse_067ms.tsv	9
89.583	0.267	0	ONEPULSE-5	temporalpattern/onepulse_267ms.tsv	5
91.05	0.133	0.067	TWOPULSE-3	temporalpattern/twopulse_067ms.tsv	9
92.5	0.133	0.533	TWOPULSE-6	temporalpattern/twopulse_533ms.tsv	12
94.067	0.133	0.533	TWOPULSE-6	temporalpattern/twopulse_533ms.tsv	12
95.317	0.133	0.267	TWOPULSE-5	temporalpattern/twopulse_267ms.tsv	11
96.817	0.133	0.017	TWOPULSE-1	temporalpattern/twopulse_017ms.tsv	7
98.433	0.133	0.017	TWOPULSE-1	temporalpattern/twopulse_017ms.tsv	7
99.767	0.017	0	ONEPULSE-1	temporalpattern/onepulse_017ms.tsv	1
101.367	0.133	0	ONEPULSE-4	temporalpattern/onepulse_133ms.tsv	4
102.9	0.017	0	ONEPULSE-1	temporalpattern/onepulse_017ms.tsv	1
104.567	0.133	0.017	TWOPULSE-1	temporalpattern/twopulse_017ms.tsv	7
106.267	0.133	0.267	TWOPULSE-5	temporalpattern/twopulse_267ms.tsv	11
107.667	0.533	0	ONEPULSE-6	temporalpattern/onepulse_533ms.tsv	6
109.2	0.033	0	ONEPULSE-2	temporalpattern/onepulse_033ms.tsv	2
